user_id,name,total_income,total_expense,total_investment,current_investment_value,total_target_amount,current_savings,total_budget,net_savings,savings_rate,investment_rate,budget_utilization,investment_profit,goal_completion
1,Kala Parmer,914897.0,468702.0,1702677.0,1949589.9100000001,1105102.0,415564.0,120792.0,446195.0,48.77,186.11,388.02,246912.91000000015,37.6
2,Daksha Sharma,3001232.0,1565376.0,233148.0,370916.96,513626.0,152856.0,160115.0,1435856.0,47.84,7.77,977.66,137768.96000000002,29.76
3,Hemang Trivedi,3692675.0,1385141.0,2112124.0,2162186.9699999997,1575415.0,867433.0,192697.0,2307534.0,62.49,57.2,718.82,50062.96999999974,55.06
4,Benjamin Sehgal,1857175.0,994930.0,270758.0,255054.14,330906.0,248181.0,86946.0,862245.0,46.43,14.58,1144.31,-15703.859999999986,75.0
5,Riya Rai,2622864.0,1227223.0,1508406.0,1906478.9100000001,2532059.0,1273180.0,95765.0,1395641.0,53.21,57.51,1281.49,398072.91000000015,50.28
6,Sachi Johal,2663065.0,1132668.0,303619.0,439367.07,2462664.0,1197853.0,91526.0,1530397.0,57.47,11.4,1237.54,135748.07,48.64
7,Gaurangi Sachar,817986.0,372931.0,277169.0,338061.63,2240934.0,1018890.0,157562.0,445055.0,54.41,33.88,236.69,60892.630000000005,45.47
8,Pooja Chandran,2072340.0,1012041.0,744226.0,687104.6000000001,472387.0,278469.0,116745.0,1060299.0,51.16,35.91,866.88,-57121.39999999991,58.95
9,Chaaya Nadig,2596581.0,1059910.0,786616.0,973929.99,1657379.0,1229289.0,146210.0,1536671.0,59.18,30.29,724.92,187313.99,74.17
10,Simon Lad,2390168.0,742000.0,1417747.0,1835316.5999999999,1217400.0,699889.0,124349.0,1648168.0,68.96,59.32,596.71,417569.59999999986,57.49
11,Darsh Shanker,2870320.0,1004118.0,748746.0,1028089.9500000001,254290.0,128754.0,21717.0,1866202.0,65.02,26.09,4623.65,279343.95000000007,50.63
12,Varsha Roy,796967.0,422236.0,378343.0,439181.71,786930.0,389436.0,30224.0,374731.0,47.02,47.47,1397.02,60838.71000000002,49.49
13,Maya Kalita,2385580.0,1549296.0,1360799.0,1718688.24,993710.0,611429.0,137099.0,836284.0,35.06,57.04,1130.06,357889.24,61.53
14,Gavin Prabhakar,1125937.0,405267.0,416975.0,517564.63,1684283.0,645005.0,140117.0,720670.0,64.01,37.03,289.23,100589.63,38.3
15,Sai Jayaraman,3524495.0,1510742.0,1238277.0,1619265.74,1826176.0,1531448.0,90414.0,2013753.0,57.14,35.13,1670.92,380988.74,83.86
16,Chanakya Char,1112967.0,537767.0,2111919.0,2406705.13,1338013.0,1027679.0,170761.0,575200.0,51.68,189.76,314.92,294786.1299999999,76.81
17,Kashvi Behl,1182749.0,571727.0,1051197.0,1493452.12,175142.0,21485.0,192476.0,611022.0,51.66,88.88,297.04,442255.1200000001,12.27
18,Ryan Dewan,729344.0,504307.0,1044261.0,1176760.1,2226919.0,434125.0,94396.0,225037.0,30.85,143.18,534.25,132499.1000000001,19.49
