user_id,name,age,gender,occupation,city,registration_date,age_group,registration_year,registration_month
1,Kala Parmer,40,Male,Teacher,Bangalore,2025-02-21,36-45,2025,February
2,Daksha Sharma,36,Female,Doctor,Chennai,2025-11-26,36-45,2025,November
3,Hemang Trivedi,41,Female,Banker,Hyderabad,2026-01-29,36-45,2026,January
4,Benjamin Sehgal,54,Female,Business Owner,Kolkata,2024-08-20,46-60,2024,August
5,Riya Rai,44,Female,Doctor,Chennai,2024-07-24,36-45,2024,July
6,Sachi Johal,29,Female,Student,Pune,2025-05-23,26-35,2025,May
7,Gaurangi Sachar,30,Male,Doctor,Ahmedabad,2025-11-29,26-35,2025,November
8,Pooja Chandran,53,Female,Engineer,Hyderabad,2025-01-15,46-60,2025,January
9,Chaaya Nadig,26,Male,Banker,Bangalore,2025-03-07,26-35,2025,March
10,Simon Lad,46,Female,Business Owner,Hyderabad,2024-08-12,46-60,2024,August
11,Darsh Shanker,52,Male,Manager,Kolkata,2024-10-07,46-60,2024,October
12,Varsha Roy,26,Female,Software Developer,Ahmedabad,2026-06-04,26-35,2026,June
13,Maya Kalita,60,Female,Engineer,Chennai,2026-01-26,46-60,2026,January
14,Gavin Prabhakar,27,Female,Accountant,Mumbai,2025-03-03,26-35,2025,March
15,Sai Jayaraman,34,Male,Student,Kolkata,2026-06-19,26-35,2026,June
16,Chanakya Char,60,Male,Accountant,Kolkata,2025-01-02,46-60,2025,January
17,Kashvi Behl,28,Female,Banker,Chennai,2025-07-31,26-35,2025,July
18,Ryan Dewan,38,Female,Software Developer,Mumbai,2024-09-21,36-45,2024,September
19,Logan Behl,47,Female,Software Developer,Chennai,2025-03-24,46-60,2025,March
20,Henry Borah,27,Female,Business Owner,Bangalore,2026-03-06,26-35,2026,March
21,Ojasvi Vaidya,32,Female,Manager,Chennai,2025-11-26,26-35,2025,November
22,Odika Mody,24,Female,Software Developer,Mumbai,2026-03-20,18-25,2026,March
23,Nimrat Chada,50,Female,Teacher,Ahmedabad,2026-06-06,46-60,2026,June
24,Divya Bahl,51,Female,Doctor,Delhi,2025-12-22,46-60,2025,December
25,Tripti Pandey,30,Female,Engineer,Hyderabad,2025-05-31,26-35,2025,May
26,Tanish Gupta,51,Male,Engineer,Delhi,2024-12-29,46-60,2024,December
27,Eta Biswas,38,Male,Accountant,Ahmedabad,2025-12-19,36-45,2025,December
28,Naksh Badal,53,Female,Student,Pune,2025-11-23,46-60,2025,November
29,Indira Keer,50,Male,Banker,Ahmedabad,2026-02-11,46-60,2026,February
30,Warda Oommen,30,Female,Accountant,Mumbai,2024-11-25,26-35,2024,November
31,Eiravati Palla,40,Male,Business Owner,Kolkata,2025-05-16,36-45,2025,May
32,Bahadurjit Mander,38,Female,Business Owner,Bangalore,2025-03-20,36-45,2025,March
33,Aditya Sharaf,28,Male,Teacher,Delhi,2025-08-11,26-35,2025,August
34,Vanya Bose,56,Male,Banker,Kolkata,2025-09-15,46-60,2025,September
35,Bhavini Ahluwalia,24,Male,Student,Hyderabad,2026-03-26,18-25,2026,March
36,Dominic Nagar,23,Male,Accountant,Mumbai,2025-01-28,18-25,2025,January
37,Aryan Nath,22,Female,Manager,Mumbai,2024-12-28,18-25,2024,December
38,Vamakshi Sahota,39,Male,Business Owner,Ahmedabad,2025-03-05,36-45,2025,March
39,Tamanna Nadig,32,Male,Banker,Hyderabad,2025-07-16,26-35,2025,July
40,Hemal Behl,30,Male,Banker,Pune,2024-09-30,26-35,2024,September
41,Yadavi Krishnan,26,Male,Banker,Bangalore,2026-06-21,26-35,2026,June
42,Upadhriti Saini,40,Female,Business Owner,Mumbai,2025-04-24,36-45,2025,April
43,Sanaya Varty,52,Male,Engineer,Hyderabad,2025-11-09,46-60,2025,November
44,Jason Yogi,23,Female,Lawyer,Bangalore,2026-01-11,18-25,2026,January
45,Azaan Sachar,52,Female,Software Developer,Chennai,2025-09-10,46-60,2025,September
46,Jagrati Samra,23,Male,Banker,Bangalore,2025-04-30,18-25,2025,April
47,Dhruv Varkey,60,Male,Accountant,Mumbai,2026-04-22,46-60,2026,April
48,Ansh Saraf,33,Male,Banker,Kolkata,2026-05-07,26-35,2026,May
49,Akshay Madan,28,Female,Engineer,Bangalore,2025-10-05,26-35,2025,October
50,Hemal Narang,60,Male,Doctor,Hyderabad,2024-10-19,46-60,2024,October
51,Yachana Raval,32,Female,Software Developer,Kolkata,2025-04-06,26-35,2025,April
52,Elijah Mander,24,Male,Software Developer,Hyderabad,2025-05-31,18-25,2025,May
53,Xiti Reddy,58,Male,Business Owner,Ahmedabad,2026-06-20,46-60,2026,June
54,Chanchal Dave,24,Male,Doctor,Bangalore,2026-07-08,18-25,2026,July
55,Ekta Deol,38,Male,Doctor,Bangalore,2025-04-08,36-45,2025,April
56,Nisha Atwal,37,Female,Accountant,Kolkata,2025-05-18,36-45,2025,May
57,Varenya Kara,43,Female,Teacher,Bangalore,2024-09-21,36-45,2024,September
58,Amol Raghavan,54,Female,Doctor,Bangalore,2025-06-04,46-60,2025,June
59,Yutika Uppal,56,Female,Engineer,Hyderabad,2024-09-18,46-60,2024,September
60,William Sidhu,49,Male,Doctor,Hyderabad,2026-02-08,46-60,2026,February
61,Rajeshri Bhatia,58,Male,Banker,Delhi,2026-03-04,46-60,2026,March
62,Luke Sarin,40,Male,Student,Kolkata,2025-06-01,36-45,2025,June
63,Ekanta Chowdhury,51,Female,Business Owner,Kolkata,2024-09-26,46-60,2024,September
64,Zayan Lad,30,Female,Software Developer,Bangalore,2024-09-12,26-35,2024,September
65,Orinder Manda,60,Female,Teacher,Delhi,2025-05-09,46-60,2025,May
66,Yatan Sankar,39,Female,Accountant,Delhi,2025-04-16,36-45,2025,April
67,Samarth Pal,55,Male,Engineer,Chennai,2024-10-29,46-60,2024,October
68,Reva Kapadia,32,Male,Software Developer,Bangalore,2025-12-11,26-35,2025,December
69,Caleb Borra,39,Male,Business Owner,Ahmedabad,2025-06-19,36-45,2025,June
70,Unni Sheth,50,Male,Student,Mumbai,2026-03-04,46-60,2026,March
71,Faris Vaidya,25,Male,Manager,Ahmedabad,2026-02-17,18-25,2026,February
72,Chanchal Rout,38,Male,Lawyer,Bangalore,2025-06-24,36-45,2025,June
73,Jai Baral,33,Male,Engineer,Ahmedabad,2025-01-25,26-35,2025,January
74,Abeer Jha,44,Male,Student,Chennai,2025-07-07,36-45,2025,July
75,Xalak Patla,36,Female,Doctor,Kolkata,2024-10-02,36-45,2024,October
76,Meera Nayak,42,Female,Manager,Delhi,2026-02-15,36-45,2026,February
77,Ayushman Rout,24,Female,Engineer,Delhi,2026-03-26,18-25,2026,March
78,Robert Mutti,58,Male,Software Developer,Bangalore,2026-02-19,46-60,2026,February
79,Daniel Loke,43,Female,Business Owner,Kolkata,2025-03-23,36-45,2025,March
80,Rachit Dass,24,Male,Software Developer,Ahmedabad,2026-06-22,18-25,2026,June
81,Omya Golla,47,Male,Student,Bangalore,2026-04-27,46-60,2026,April
82,Yug Joshi,31,Male,Lawyer,Bangalore,2025-02-20,26-35,2025,February
83,Yashawini Natt,30,Male,Engineer,Chennai,2026-05-04,26-35,2026,May
84,Chavvi Nazareth,28,Male,Banker,Mumbai,2025-08-09,26-35,2025,August
85,Osha Dave,34,Male,Engineer,Pune,2024-07-20,26-35,2024,July
86,Abeer Sarma,31,Female,Banker,Pune,2024-08-28,26-35,2024,August
87,Qushi Mann,60,Male,Business Owner,Chennai,2025-03-19,46-60,2025,March
88,Henry Khare,40,Female,Software Developer,Kolkata,2026-03-28,36-45,2026,March
89,Lucky Gade,33,Female,Student,Kolkata,2026-01-11,26-35,2026,January
90,Gaurang Aggarwal,29,Male,Engineer,Hyderabad,2024-07-18,26-35,2024,July
91,Tristan Kapadia,50,Female,Banker,Kolkata,2025-12-29,46-60,2025,December
92,Daniel Bala,59,Female,Software Developer,Delhi,2026-05-05,46-60,2026,May
93,Ekanta Ganesan,48,Male,Manager,Mumbai,2025-01-18,46-60,2025,January
94,Darika Vohra,34,Male,Student,Hyderabad,2024-07-31,26-35,2024,July
95,Hema Bhagat,58,Female,Banker,Delhi,2026-07-05,46-60,2026,July
96,Qabil Wason,37,Female,Banker,Chennai,2025-06-15,36-45,2025,June
97,Naveen Aurora,55,Female,Teacher,Kolkata,2026-03-17,46-60,2026,March
98,Devika Soman,29,Male,Engineer,Bangalore,2025-12-18,26-35,2025,December
99,Zaid Kuruvilla,38,Male,Banker,Bangalore,2025-12-01,36-45,2025,December
100,Christopher Ganguly,31,Female,Lawyer,Kolkata,2025-11-23,26-35,2025,November
101,Atharv Gupta,55,Male,Lawyer,Mumbai,2025-04-11,46-60,2025,April
102,Tejas Desai,51,Female,Engineer,Ahmedabad,2024-12-24,46-60,2024,December
103,Christopher Banerjee,32,Male,Engineer,Hyderabad,2025-04-15,26-35,2025,April
104,Wakeeta Saraf,32,Male,Doctor,Kolkata,2025-12-17,26-35,2025,December
105,Sathvik Rama,55,Female,Banker,Chennai,2024-11-04,46-60,2024,November
106,Vamakshi Nayak,60,Male,Manager,Ahmedabad,2024-10-25,46-60,2024,October
107,Lila Barad,28,Male,Lawyer,Bangalore,2025-08-27,26-35,2025,August
108,Naksh Khosla,59,Male,Lawyer,Chennai,2025-03-24,46-60,2025,March
109,Elijah Munshi,52,Female,Software Developer,Ahmedabad,2026-03-21,46-60,2026,March
110,Anvi Ahluwalia,38,Male,Banker,Delhi,2025-06-18,36-45,2025,June
111,Hitesh Pradhan,28,Female,Teacher,Pune,2025-09-29,26-35,2025,September
112,Devansh Nair,34,Male,Student,Kolkata,2024-12-08,26-35,2024,December
113,Lekha Anne,32,Male,Lawyer,Ahmedabad,2025-10-17,26-35,2025,October
114,Geetika Sridhar,49,Male,Teacher,Delhi,2025-01-02,46-60,2025,January
115,Janaki Puri,54,Male,Student,Pune,2025-06-19,46-60,2025,June
116,Falan Srinivasan,25,Male,Software Developer,Ahmedabad,2026-07-03,18-25,2026,July
117,Hritik Bhandari,43,Male,Doctor,Ahmedabad,2025-07-10,36-45,2025,July
118,Ethan Master,40,Male,Engineer,Kolkata,2025-11-19,36-45,2025,November
119,Bhavika Narasimhan,28,Male,Engineer,Ahmedabad,2025-06-15,26-35,2025,June
120,Shravya Khalsa,34,Male,Doctor,Delhi,2026-05-10,26-35,2026,May
121,Wriddhish Goel,31,Female,Manager,Ahmedabad,2025-09-11,26-35,2025,September
122,Ranveer Sanghvi,37,Male,Lawyer,Kolkata,2025-01-22,36-45,2025,January
123,Sai Setty,31,Female,Student,Chennai,2026-07-15,26-35,2026,July
124,Baghyawati Sandhu,29,Male,Business Owner,Delhi,2026-05-09,26-35,2026,May
125,Imaran Buch,33,Female,Teacher,Hyderabad,2025-07-30,26-35,2025,July
126,Chakradev Wadhwa,57,Male,Student,Delhi,2026-03-22,46-60,2026,March
127,Yahvi Raman,36,Female,Doctor,Bangalore,2025-04-30,36-45,2025,April
128,Ethan Bhandari,38,Female,Lawyer,Kolkata,2024-11-28,36-45,2024,November
129,Eta Sekhon,38,Male,Engineer,Mumbai,2025-07-09,36-45,2025,July
130,Balhaar Hayre,59,Female,Engineer,Ahmedabad,2025-01-25,46-60,2025,January
131,Oscar Sule,31,Female,Student,Kolkata,2026-07-14,26-35,2026,July
132,Faraj Sha,26,Female,Teacher,Ahmedabad,2026-03-12,26-35,2026,March
133,Rajata Khurana,53,Male,Student,Mumbai,2025-09-17,46-60,2025,September
134,Harrison Tak,28,Male,Teacher,Kolkata,2026-03-01,26-35,2026,March
135,Nathan Gaba,60,Male,Accountant,Mumbai,2026-06-19,46-60,2026,June
136,Yagnesh Chowdhury,25,Male,Banker,Chennai,2025-01-14,18-25,2025,January
137,Isaac Kamdar,52,Male,Accountant,Mumbai,2025-08-18,46-60,2025,August
138,Tanay Savant,46,Female,Engineer,Bangalore,2026-06-30,46-60,2026,June
139,Gavin Raghavan,35,Male,Lawyer,Delhi,2026-03-03,26-35,2026,March
140,Lakshit Varghese,34,Male,Student,Mumbai,2026-04-05,26-35,2026,April
141,Falan Prakash,44,Female,Student,Kolkata,2025-12-13,36-45,2025,December
142,Warinder Nazareth,58,Female,Software Developer,Ahmedabad,2025-06-06,46-60,2025,June
143,Victor Zacharia,27,Male,Student,Bangalore,2025-08-19,26-35,2025,August
144,Damyanti Patil,45,Female,Manager,Kolkata,2025-07-13,36-45,2025,July
145,Andrew Raju,29,Female,Doctor,Chennai,2026-04-22,26-35,2026,April
146,Christopher Kothari,46,Female,Accountant,Mumbai,2025-02-07,46-60,2025,February
147,Chaaya Cherian,39,Female,Lawyer,Bangalore,2025-06-26,36-45,2025,June
148,Samesh Narasimhan,60,Female,Lawyer,Ahmedabad,2024-11-15,46-60,2024,November
149,Omya Rai,30,Female,Business Owner,Hyderabad,2026-01-04,26-35,2026,January
150,Mason Toor,22,Female,Business Owner,Pune,2024-10-29,18-25,2024,October
151,Teerth Patil,37,Female,Student,Kolkata,2026-03-21,36-45,2026,March
152,Ati Sahota,41,Male,Lawyer,Ahmedabad,2024-12-23,36-45,2024,December
153,Ekbal Krishna,22,Male,Accountant,Hyderabad,2026-04-18,18-25,2026,April
154,Naveen Karpe,47,Male,Banker,Pune,2025-06-23,46-60,2025,June
155,Bina Garde,44,Female,Manager,Delhi,2025-09-09,36-45,2025,September
156,Krishna Pal,51,Female,Student,Bangalore,2025-04-16,46-60,2025,April
157,Madhavi Varma,24,Male,Teacher,Bangalore,2024-11-16,18-25,2024,November
158,Chameli Rege,48,Male,Doctor,Bangalore,2024-10-16,46-60,2024,October
159,Priya Sem,60,Male,Banker,Delhi,2025-01-25,46-60,2025,January
160,George Lall,43,Female,Teacher,Hyderabad,2026-04-03,36-45,2026,April
161,Ekbal Sathe,51,Female,Business Owner,Pune,2025-07-21,46-60,2025,July
162,Jyoti Chopra,44,Female,Manager,Chennai,2025-11-06,36-45,2025,November
163,Aadhya Keer,58,Male,Engineer,Hyderabad,2026-03-23,46-60,2026,March
164,Mugdha Bali,56,Female,Business Owner,Hyderabad,2025-04-12,46-60,2025,April
165,Udant Date,37,Male,Accountant,Hyderabad,2024-11-16,36-45,2024,November
166,Rudra Bal,52,Female,Accountant,Delhi,2024-08-09,46-60,2024,August
167,Ranveer Bhagat,59,Female,Accountant,Ahmedabad,2024-10-28,46-60,2024,October
168,Laksh Mohan,59,Male,Manager,Delhi,2025-12-24,46-60,2025,December
