user_id,name,total_income,total_expense,total_investment,current_investment_value,total_target_amount,current_savings,total_budget,net_savings,savings_rate,investment_rate,budget_utilization,investment_profit,goal_completion,saving_score,investment_score,goal_score,profit_score,budget_score,financial_health_score,health_category
1,Kala Parmer,914897.0,468702.0,1702677.0,1949589.91,1105102.0,415564.0,120792.0,446195.0,48.77,186.11,388.0240413272402,246912.91000000012,37.6,78.28593689131283,39.65017682900848,38.69905310827501,33.05666723023376,97.34465328985326,61.93,Good
2,Daksha Sharma,3001232.0,1565376.0,233148.0,370916.96,513626.0,152856.0,160115.0,1435856.0,47.84,7.77,977.6573088092932,137768.96000000002,29.76,77.56135566809506,1.6553751757637736,30.62988884314533,22.601720108952037,93.30964362486931,50.65,Average
3,Hemang Trivedi,3692675.0,1385141.0,2112124.0,2162186.97,1575415.0,867433.0,192697.0,2307534.0,62.49,57.2,718.8181445481766,50062.96999999974,55.06,88.97545773276198,12.18628829519792,56.66941128036229,14.200324633805081,95.0809455290682,60.9,Good
4,Benjamin Sehgal,1857175.0,994930.0,270758.0,255054.14,330906.0,248181.0,86946.0,862245.0,46.43,14.58,1144.307961263313,-15703.859999999986,75.0,76.46279703934555,3.106225233286463,77.19226018937835,7.900490973906196,92.16921103666174,58.22,Average
5,Riya Rai,2622864.0,1227223.0,1508406.0,1906478.91,2532059.0,1273180.0,95765.0,1395641.0,53.21,57.51,1281.4942828799665,398072.91000000015,50.28,81.7452278924815,12.252332864629938,51.74969123095925,47.536350317138194,91.2304103207682,60.32,Good
6,Sachi Johal,2663065.0,1132668.0,303619.0,439367.07,2462664.0,1197853.0,91526.0,1530397.0,57.47,11.4,1237.5368747678256,135748.07,48.64,85.06427736657578,2.4287357791128725,50.06175380815151,22.40813816430071,91.53122198856565,56.56,Average
7,Gaurangi Sachar,817986.0,372931.0,277169.0,338061.63,2240934.0,1018890.0,157562.0,445055.0,54.41,33.88,236.6884147192851,60892.630000000005,45.47,82.68017140631088,7.218032297924923,46.79909427748045,15.237702542900935,98.38028128049761,56.81,Average
8,Pooja Chandran,2072340.0,1012041.0,744226.0,687104.6000000001,472387.0,278469.0,116745.0,1060299.0,51.16,35.91,866.8816651676732,-57121.39999999991,58.95,80.148032723023,7.650517704205548,60.673116508851386,3.9330865452267383,94.06770938775871,56.92,Average
9,Chaaya Nadig,2596581.0,1059910.0,786616.0,973929.99,1657379.0,1229289.0,146210.0,1536671.0,59.18,30.29,724.9230558785308,187313.99,74.17,86.39657187378263,6.453193574502534,76.3379991766159,27.347660390317298,95.03916807589457,64.22,Good
10,Simon Lad,2390168.0,742000.0,1417747.0,1835316.6,1217400.0,699889.0,124349.0,1648168.0,68.96,59.32,596.7076534592156,417569.5999999999,57.49,94.01636151149201,12.637947931313647,59.17044051049815,49.403946853547396,95.9165785214941,66.69,Good
11,Darsh Shanker,2870320.0,1004118.0,748746.0,1028089.95,254290.0,128754.0,21717.0,1866202.0,65.02,26.09,4623.649675369526,279343.95000000007,50.63,90.94663030775224,5.558396182197793,52.10992177850968,36.163250859359984,68.35919518705961,56.11,Average
12,Varsha Roy,796967.0,422236.0,378343.0,439181.71,786930.0,389436.0,30224.0,374731.0,47.02,47.47,1397.022233986236,60838.71000000002,49.49,76.92247760031165,10.113341003025267,50.93659942363112,15.232537522313178,90.43982331525503,54.9,Average
13,Maya Kalita,2385580.0,1549296.0,1360799.0,1718688.24,993710.0,611429.0,137099.0,836284.0,35.06,57.04,1130.0563826140233,357889.24,61.53,67.60420724581225,12.152200775491073,63.328530259366,43.687138840102264,92.26673819593606,58.2,Average
14,Gavin Prabhakar,1125937.0,405267.0,416975.0,517564.63,1684283.0,645005.0,140117.0,720670.0,64.01,37.03,289.23471099152846,100589.63,38.3,90.15971951694586,7.889130342153479,39.41951420337587,19.040295685933785,98.0206936774727,58.02,Average
15,Sai Jayaraman,3524495.0,1510742.0,1238277.0,1619265.74,1826176.0,1531448.0,90414.0,2013753.0,57.14,35.13,1670.9160085827416,380988.74,83.86,84.8071679002727,7.484341045634668,86.31123919308358,45.89985013585477,88.56549890273453,66.5,Good
16,Chanakya Char,1112967.0,537767.0,2111919.0,2406705.13,1338013.0,1027679.0,170761.0,575200.0,51.68,189.76,314.9237823624832,294786.1299999999,76.81,80.55317491234905,40.427798372320936,79.05516673528201,37.642464094150476,97.84489686107374,71.4,Good
17,Kashvi Behl,1182749.0,571727.0,1051197.0,1493452.12,175142.0,21485.0,192476.0,611022.0,51.66,88.88,297.0380722791413,442255.1200000001,12.27,80.5375925204519,18.935617197153693,12.628653766982298,51.76858370480066,97.96729330142314,55.24,Average
18,Ryan Dewan,729344.0,504307.0,1044261.0,1176760.1,2226919.0,434125.0,94396.0,225037.0,30.85,143.18,534.246154498072,132499.1000000001,19.49,64.32411375146086,30.504069197665007,20.059695347879785,22.096917894660205,96.34401836571095,50.89,Average
19,Logan Behl,1025001.0,533028.0,1007289.0,1113281.66,5024261.0,2387932.0,216816.0,491973.0,48.0,98.27,245.84348018596413,105992.66000000016,47.53,77.68601480327231,20.936128509949295,48.919308357348704,19.557854313275936,98.31763085068152,58.9,Average
20,Henry Borah,2964750.0,1418547.0,1003514.0,1163953.9,269713.0,47500.0,94425.0,1546203.0,52.15,33.85,1502.3002382843526,160439.8999999999,17.61,80.91936112193223,7.21164088797989,18.124742692466036,24.773379453237716,89.71937928965389,49.76,Average
21,Ojasvi Vaidya,2335546.0,1755239.0,267502.0,311935.79000000004,991302.0,820515.0,229200.0,580307.0,24.85,11.45,765.8110820244328,44433.79000000004,82.77,59.649396182313986,2.4393881290212622,85.18937834499795,13.661102998192906,94.75936096564556,55.74,Average
